Indicador,Data,DataReferencia,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
IPCA,2025-08-29,08/2027,0.1379,0.145,0.10490000000000001,-0.23070000000000002,0.29,32,1
IPCA,2025-08-29,08/2027,0.1749,0.185,0.11470000000000001,-0.25,0.53,88,0
Câmbio,2025-08-29,08/2027,5.5689,5.58,0.1331,5.27,5.71,9,1
Câmbio,2025-08-29,08/2027,5.5689,5.58,0.1331,5.27,5.71,9,0
IPCA Livres,2025-08-29,08/2027,0.092,0.12,0.1023,-0.1573,0.21,12,1
IPCA Livres,2025-08-29,08/2027,0.1434,0.162,0.10070000000000001,-0.1573,0.4,58,0
IPCA Serviços,2025-08-29,08/2027,0.21580000000000002,0.2157,0.10540000000000001,0.05,0.42,14,1
IPCA Serviços,2025-08-29,08/2027,0.2281,0.23570000000000002,0.12350000000000001,0.04,0.8,56,0
IPCA Bens industrializados,2025-08-29,08/2027,0.19640000000000002,0.2,0.1331,-0.13970000000000002,0.39,13,1
IPCA Bens industrializados,2025-08-29,08/2027,0.2099,0.22,0.0945,-0.13970000000000002,0.39,55,0
IPCA Alimentação no domicílio,2025-08-29,08/2027,-0.23070000000000002,-0.191,0.361,-0.9500000000000001,0.3734,13,1
IPCA Alimentação no domicílio,2025-08-29,08/2027,-0.0942,-0.045,0.3302,-0.9500000000000001,0.554,56,0
IPCA Administrados,2025-08-29,08/2027,0.2003,0.22240000000000001,0.113,-0.11,0.32,13,1
IPCA Administrados,2025-08-29,08/2027,0.24710000000000001,0.2466,0.1935,-0.5700000000000001,1.0,61,0
IPCA,2025-08-29,07/2027,0.2024,0.2,0.0927,0.0,0.48,33,1
IPCA,2025-08-29,07/2027,0.22080000000000002,0.21,0.1,-0.07,0.52,100,0
Câmbio,2025-08-29,07/2027,5.5332,5.54,0.1883,5.0,5.89,20,1
Câmbio,2025-08-29,07/2027,5.6143,5.6,0.21860000000000002,5.0,6.55,77,0
IPCA Livres,2025-08-29,07/2027,0.15660000000000002,0.1584,0.1135,-0.0167,0.43,12,1
IPCA Livres,2025-08-29,07/2027,0.2199,0.2,0.12240000000000001,-0.0167,0.7000000000000001,67,0
IPCA Serviços,2025-08-29,07/2027,0.45840000000000003,0.42150000000000004,0.14450000000000002,0.25,0.89,15,1
IPCA Serviços,2025-08-29,07/2027,0.4146,0.4,0.152,0.0,0.89,66,0
IPCA Bens industrializados,2025-08-29,07/2027,0.0731,0.08610000000000001,0.1048,-0.24810000000000001,0.22,14,1
IPCA Bens industrializados,2025-08-29,07/2027,0.11660000000000001,0.1047,0.123,-0.24810000000000001,0.5,64,0
IPCA Alimentação no domicílio,2025-08-29,07/2027,-0.26380000000000003,-0.20500000000000002,0.28850000000000003,-0.868,0.1,14,1
IPCA Alimentação no domicílio,2025-08-29,07/2027,-0.0183,0.0,0.3053,-0.868,1.02,65,0
IPCA Administrados,2025-08-29,07/2027,0.3241,0.2962,0.161,0.02,0.64,14,1
IPCA Administrados,2025-08-29,07/2027,0.3226,0.305,0.20120000000000002,-0.6000000000000001,0.85,68,0
IPCA,2025-08-29,06/2027,0.1809,0.195,0.0815,0.0,0.39,34,1
IPCA,2025-08-29,06/2027,0.23140000000000002,0.21,0.0927,0.0,0.49,103,0
Câmbio,2025-08-29,06/2027,5.5414,5.555,0.24550000000000002,4.8100000000000005,5.89,22,1
Câmbio,2025-08-29,06/2027,5.6133,5.605,0.23820000000000002,4.8100000000000005,6.47,84,0
IPCA Livres,2025-08-29,06/2027,0.1494,0.165,0.0743,-0.0507,0.2354,12,1
IPCA Livres,2025-08-29,06/2027,0.2306,0.22,0.1114,-0.0507,0.51,67,0
