Indicador,IndicadorDetalhe,Data,DataReferencia,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
Balança comercial,Exportações,2001-11-06,2001,58.54,58.3,1.21,55.4,64.15,,0
Balança comercial,Exportações,2001-11-06,2002,61.17,61.0,2.13,56.6,66.0,,0
Balança comercial,Exportações,2001-11-06,2003,66.82,67.7,3.26,62.1,71.7,,0
Balança comercial,Exportações,2001-11-06,2004,67.28,67.28,2.23,65.7,68.85,,0
Balança comercial,Exportações,2001-11-06,2005,69.9,69.9,0.0,69.9,69.9,,0
Balança comercial,Exportações,2001-11-07,2001,58.48,58.4,1.15,55.4,64.15,,0
Balança comercial,Exportações,2001-11-07,2002,61.09,61.0,2.02,56.6,66.0,,0
Balança comercial,Exportações,2001-11-07,2003,66.41,66.0,2.84,62.1,71.7,,0
Balança comercial,Exportações,2001-11-07,2004,69.8,68.85,3.48,65.7,75.62,,0
Balança comercial,Exportações,2001-11-07,2005,74.95,74.95,7.14,69.9,80.0,,0
Balança comercial,Exportações,2001-11-08,2001,58.5,58.4,1.11,55.4,64.15,,0
Balança comercial,Exportações,2001-11-08,2002,61.11,61.0,1.96,56.6,66.0,,0
Balança comercial,Exportações,2001-11-08,2003,66.42,66.0,2.84,62.1,71.7,,0
Balança comercial,Exportações,2001-11-08,2004,71.15,72.0,3.41,65.7,75.62,,0
Balança comercial,Exportações,2001-11-08,2005,76.1,76.5,5.55,69.9,81.51,,0
Balança comercial,Exportações,2001-11-09,2001,58.4,58.41,0.76,55.4,60.0,,0
Balança comercial,Exportações,2001-11-09,2002,61.07,61.05,1.8599999999999999,56.6,65.4,,0
Balança comercial,Exportações,2001-11-09,2003,66.63,66.4,2.65,62.1,71.7,,0
Balança comercial,Exportações,2001-11-09,2004,71.44,72.1,3.13,65.7,75.62,,0
Balança comercial,Exportações,2001-11-09,2005,76.68,79.0,4.98,69.9,81.51,,0
Balança comercial,Exportações,2001-11-12,2001,58.45,58.5,0.75,55.4,60.0,,0
Balança comercial,Exportações,2001-11-12,2002,61.27,61.15,1.9500000000000002,56.6,66.5,,0
Balança comercial,Exportações,2001-11-12,2003,66.7,66.9,2.63,62.1,71.7,,0
Balança comercial,Exportações,2001-11-12,2004,71.48,72.05,3.03,65.7,75.62,,0
Balança comercial,Exportações,2001-11-12,2005,76.57,77.5,4.46,69.9,81.51,,0
Balança comercial,Exportações,2001-11-13,2001,58.51,58.5,0.86,55.4,62.0,,0
Balança comercial,Exportações,2001-11-13,2002,61.29,61.1,1.94,56.6,66.0,,0
Balança comercial,Exportações,2001-11-13,2003,66.8,66.8,2.56,62.1,71.7,,0
