Indicador,Data,Reuniao,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
Selic,2025-08-29,R5/2027,10.4269,10.5,0.8693000000000001,9.0,12.5,26,1
Selic,2025-08-29,R5/2027,11.0167,11.0,1.1082,9.0,15.0,96,0
Selic,2025-08-29,R4/2027,10.7333,10.5,0.8009000000000001,9.5,12.5,30,1
Selic,2025-08-29,R4/2027,11.2543,11.0,1.0231,9.0,15.0,115,0
Selic,2025-08-29,R3/2027,11.0403,11.0,0.7883,10.0,13.0,31,1
Selic,2025-08-29,R3/2027,11.4915,11.5,0.9775,9.5,15.0,118,0
Selic,2025-08-29,R2/2027,11.3145,11.5,0.7698,10.0,13.0,31,1
Selic,2025-08-29,R2/2027,11.7331,11.75,0.937,9.5,15.0,118,0
Selic,2025-08-29,R1/2027,11.6294,11.75,0.7717,10.0,13.25,31,1
Selic,2025-08-29,R1/2027,12.0213,12.0,0.8945000000000001,9.5,15.0,118,0
Selic,2025-08-29,R8/2026,12.0432,12.0,0.9317000000000001,10.0,15.0,37,1
Selic,2025-08-29,R8/2026,12.3279,12.5,0.8862,9.5,15.0,136,0
Selic,2025-08-29,R7/2026,12.2225,12.25,0.9311,10.0,15.0,36,1
Selic,2025-08-29,R7/2026,12.5039,12.5,0.8697,9.5,15.0,132,0
Selic,2025-08-29,R6/2026,12.4722,12.5,0.9369000000000001,10.0,15.0,36,1
Selic,2025-08-29,R6/2026,12.7519,12.75,0.8525,10.0,15.0,132,0
Selic,2025-08-29,R5/2026,12.8194,13.0,0.9622,10.0,15.0,36,1
Selic,2025-08-29,R5/2026,13.0758,13.0,0.8371000000000001,10.0,15.0,132,0
Selic,2025-08-29,R4/2026,13.2667,13.25,0.8987,10.5,15.0,36,1
Selic,2025-08-29,R4/2026,13.4818,13.5,0.7772,10.5,15.0,132,0
Selic,2025-08-29,R3/2026,13.7639,13.75,0.7614000000000001,11.5,15.0,36,1
Selic,2025-08-29,R3/2026,13.917300000000001,14.0,0.6722,11.5,15.0,133,0
Selic,2025-08-29,R2/2026,14.2292,14.25,0.5874,12.5,15.0,36,1
Selic,2025-08-29,R2/2026,14.3252,14.5,0.5274,12.5,15.0,133,0
Selic,2025-08-29,R1/2026,14.6284,14.75,0.4053,13.5,15.0,37,1
Selic,2025-08-29,R1/2026,14.6791,14.75,0.37360000000000004,13.5,15.0001,134,0
Selic,2025-08-29,R8/2025,14.8851,15.0,0.1892,14.5,15.0,37,1
Selic,2025-08-29,R8/2025,14.8993,15.0,0.20500000000000002,14.0,15.0001,139,0
Selic,2025-08-29,R7/2025,14.9959,15.0,0.0441,14.75,15.1,37,1
Selic,2025-08-29,R7/2025,14.986,15.0,0.0734,14.5,15.1,136,0
Selic,2025-08-29,R6/2025,15.0027,15.0,0.0162,15.0,15.1,37,1
Selic,2025-08-29,R6/2025,15.0007,15.0,0.0085,15.0,15.1,136,0
Selic,2025-08-28,R5/2027,10.9462,10.75,1.0629,9.0,15.0,65,1
Selic,2025-08-28,R5/2027,11.0182,11.0,1.1035,9.0,15.0,96,0
Selic,2025-08-28,R4/2027,11.2365,11.0,0.982,9.5,15.0,74,1
Selic,2025-08-28,R4/2027,11.2609,11.25,1.0185,9.0,15.0,115,0
Selic,2025-08-28,R3/2027,11.4638,11.5,0.9483,10.0,15.0,76,1
Selic,2025-08-28,R3/2027,11.5,11.5,0.9764,9.5,15.0,118,0
Selic,2025-08-28,R2/2027,11.6908,11.625,0.904,10.0,15.0,76,1
Selic,2025-08-28,R2/2027,11.7415,12.0,0.9371,9.5,15.0,118,0
Selic,2025-08-28,R1/2027,11.9539,12.0,0.8743000000000001,10.0,15.0,76,1
Selic,2025-08-28,R1/2027,12.0297,12.0,0.8956000000000001,9.5,15.0,118,0
Selic,2025-08-28,R8/2026,12.2651,12.25,0.9112,10.0,15.0,83,1
Selic,2025-08-28,R8/2026,12.3346,12.5,0.8887,9.5,15.0,136,0
Selic,2025-08-28,R7/2026,12.4477,12.5,0.8937,10.0,15.0,81,1
Selic,2025-08-28,R7/2026,12.5114,12.5,0.8729,9.5,15.0,132,0
Selic,2025-08-28,R6/2026,12.713,12.75,0.9113,10.0,15.0,81,1
Selic,2025-08-28,R6/2026,12.7595,12.75,0.8569,10.0,15.0,132,0
Selic,2025-08-28,R5/2026,13.0494,13.0,0.9098,10.0,15.0,81,1
Selic,2025-08-28,R5/2026,13.0833,13.0,0.8442000000000001,10.0,15.0,132,0
Selic,2025-08-28,R4/2026,13.4506,13.5,0.8538,10.5,15.0,81,1
Selic,2025-08-28,R4/2026,13.4886,13.5,0.7839,10.5,15.0,132,0
Selic,2025-08-28,R3/2026,13.8933,14.0,0.7231000000000001,11.5,15.0,82,1
Selic,2025-08-28,R3/2026,13.9248,14.0,0.6786,11.5,15.0,133,0
Selic,2025-08-28,R2/2026,14.3122,14.5,0.5646,12.5,15.0,82,1
Selic,2025-08-28,R2/2026,14.3316,14.5,0.532,12.5,15.0,133,0
Selic,2025-08-28,R1/2026,14.656600000000001,14.75,0.3952,13.5,15.0001,83,1
Selic,2025-08-28,R1/2026,14.6791,14.75,0.37360000000000004,13.5,15.0001,134,0
Selic,2025-08-28,R8/2025,14.8821,15.0,0.21730000000000002,14.0,15.1,84,1
Selic,2025-08-28,R8/2025,14.9,15.0,0.20550000000000002,14.0,15.1,139,0
Selic,2025-08-28,R7/2025,14.9893,15.0,0.0668,14.5,15.1,84,1
Selic,2025-08-28,R7/2025,14.986,15.0,0.0734,14.5,15.1,136,0
Selic,2025-08-28,R6/2025,15.0,15.0,0.0,15.0,15.0,84,1
Selic,2025-08-28,R6/2025,15.0,15.0,0.0,15.0,15.0,136,0
Selic,2025-08-27,R5/2027,10.9743,11.0,1.0839,9.0,15.0,68,1
Selic,2025-08-27,R5/2027,11.0182,11.0,1.1035,9.0,15.0,96,0
Selic,2025-08-27,R4/2027,11.25,11.0,1.0097,9.0,15.0,77,1
Selic,2025-08-27,R4/2027,11.2672,11.25,1.0164,9.0,15.0,116,0
Selic,2025-08-27,R3/2027,11.4842,11.5,0.9550000000000001,10.0,15.0,79,1
Selic,2025-08-27,R3/2027,11.5042,11.5,0.9734,9.5,15.0,119,0
Selic,2025-08-27,R2/2027,11.7057,11.75,0.9147000000000001,10.0,15.0,79,1
Selic,2025-08-27,R2/2027,11.7437,12.0,0.9334,9.5,15.0,119,0
Selic,2025-08-27,R1/2027,11.9778,12.0,0.868,10.0,15.0,79,1
Selic,2025-08-27,R1/2027,12.0294,12.0,0.8918,9.5,15.0,119,0
Selic,2025-08-27,R8/2026,12.2849,12.375,0.9087000000000001,10.0,15.0,86,1
Selic,2025-08-27,R8/2026,12.3321,12.5,0.8859,9.5,15.0,137,0
Selic,2025-08-27,R7/2026,12.4614,12.5,0.8959,10.0,15.0,84,1
Selic,2025-08-27,R7/2026,12.5095,12.5,0.8699,9.5,15.0,133,0
Selic,2025-08-27,R6/2026,12.7232,12.75,0.9161,10.0,15.0,84,1
Selic,2025-08-27,R6/2026,12.7594,12.75,0.8537,10.0,15.0,133,0
